tag_id,chinese,english
841,建筑,architecture
8,钢琴,piano
27,鸟,bird
2566,生活,Life
9,纹身,tattoo
773,树,Tree
26,摄影,photography
2413,卖衣服,sell clothes
5,狗,dog
121,明星,star
6,猫,cat
381,电影黑条,movie black bars
19,猴子,monkey
2624,正面,front
1313,面条,Noodle
12,美食,gourmet food
2139,自拍脸,selfie face
11,生活,Life
339,服装店,clothing store
818,截图,screenshot
2625,侧面,side
837,海边_沙滩,seaside_beach
7,吉他,Guitar
2701,摩托车,motorcycle
18,汽车,car
1322,天空,Sky
2335,话筒,microphone
2,小鲜肉,Little fresh meat
849,游乐场,playground
1047,果蔬,fruits and vegetables
806,一盘菜,a dish
854,室内,indoor
340,瘦身操,Slimming exercise
2522,祝福,bless
1332,人群聚集,crowd gathering
2822,汉服,Hanfu
20,火锅,hot pot
1123,镜子,Mirror
956,穿戴,wear
848,操场,playground
1,女-清纯,Female-pure
2772,女青年,young woman
2773,壮年男,prime male
2771,男青年,young men
2505,明星,star
2803,听书,Listen to books
28,蛇,snake
2550,婚礼,wedding
2449,减肥,lose weight
2138,穿衣秀,dress show
2810,国外,foreign
25,摩托车,motorcycle
2699,手势舞,hand dance
2462,眼妆,eye makeup
4,美妆,Beauty
2464,穿搭,Outfit
900,动漫,cartoon
2451,球类运动,ball games
835,日出_日落,sunrise_sunset
2707,绘画,painting
15,才艺,Talent
1009,床,bed
1022,游戏,game
3,游戏,game
2504,网红,internet celebrity
941,人-女,person-female
2458,化妆,make up
859,教室,classroom
2445,段子,jokes
2796,自行车,bike
812,女-清纯-户外,Female-pure-outdoor
444,女-半身,Female-half body
14,教育,educate
2419,创业广告,Entrepreneurship Advertising
2437,舞蹈,dance
2711,家庭关系,family relations
2395,数学教学,mathematics teaching
2526,机车,locomotive
1038,拳击,boxing
1015,毛绒玩具,stuffed toys
1400,旅游景点,tourist attractions
1106,气球,balloon
2491,面食,pasta
771,舞龙舞狮,dragon dance and lion dance
10,旅游,travel
359,文字控,text control
857,电梯,elevator
22,财经,Finance
2744,瑜伽,Yoga
372,水塘_池塘,pond_pond
13,三农,Sannong
1186,食物,food
17,动物,animal
2623,背面,back
2480,影视介绍,Film and television introduction
2412,卖鞋,selling shoes
2398,法律知识,legal knowledge
2471,吃鸡游戏,Chicken game
980,跳舞,Dance
2767,男孩,boy
1098,温馨,Warmth
1079,烹饪教程,Cooking Tutorial
2159,玩泥,play in mud
1103,清晰,clear
2768,女孩,girl
2001,婴儿,baby
2717,个性定制,Personalized customization
151,车饰,car accessories
2492,烧烤,barbecue
2408,健康,healthy
1167,吃播,Eat broadcast
1118,酒,liquor
16,健康,healthy
1187,唱歌,Sing
2496,饮料,drinks
137,工厂,factory
897,段子,jokes
2259,饼,cake
23,马,horse
866,水饺,Dumplings
2680,文玩珠宝广告,Wenwan jewelry advertising
102,海鲜,seafood
-124,UNKNOWN,UNKNOWN
2704,美妆广告,beauty ads
856,健身房,Gym
2459,美发,hairdressing
138,情侣,couple
2487,谷物,cereals
423,手机,cell phone
283,舞台,stage
995,物体,object
144,牛,ox
2718,爱情,love
1004,窗帘,curtain
777,头巾_帽子,headscarf_hat
2448,体育运动,sports
34,猪,pig
391,女-美腿,Female-beautiful legs
366,挖掘机,excavator
433,谷物丰收,Grain harvest
124,化妆,make up
142,小孩,Child
839,户外,outdoor
278,泳池,swimming pool
282,山水风景,landscape
2220,篮球场,basketball court
1401,娱乐场所,entertainment venues
765,直播截图,Live screenshot
2242,柠檬,lemon
30,唢呐,suona
2530,事故,ACCIDENT
300,其它动物,other animals
2774,壮年女,prime-age woman
2470,游戏,game
415,屏幕,Screen
2450,健身,fitness
1169,生日蛋糕,birthday cake
355,篮球,basketball
2150,唱歌,Sing
2685,通讯产品服务广告,Communication product service advertising
2356,走路,walk
2770,少女,girl
2146,面部画妆,facial makeup
2793,文艺男神,Literary God
1115,超市,supermarket
2820,相亲,blind date
410,衣模,clothes model
960,珠宝玉石,jewelry jade
321,鸽子,Pigeon
2434,刺绣,embroidery
2156,书法,calligraphy
382,盆栽,potted plant
2490,辣,hot
1085,魔术教学,magic teaching
360,新生儿,newborn
2775,大叔,uncle
964,牛仔裤,jeans
2769,少男,boy
2399,幼儿教育,early childhood education
29,科学,science
2385,地名,Place name
2777,爷爷,grandfather
2145,行为-吃喝,Behavior - eating and drinking
872,动物,animal
716,花圃_花海,Flower Garden_Sea of ​​Flowers
2552,演出,show
2621,乡村,rural
1001,证书,Certificate
887,羊,sheep
2795,开心,happy
2376,食物,food
2686,辅导班招生广告,Tutoring class enrollment advertisement
443,麻将,Mahjong
2402,育儿知识,Parenting knowledge
2472,王者荣耀,King of Glory
2478,壁纸,wallpaper
24,星座命理,horoscope numerology
2202,椅子,Chair
1019,影视作品,Film and television works
2312,饮品,drinks
2482,旅游景点,tourist attractions
2726,心灵鸡汤,Chicken Soup for the Soul
324,古装拍戏,Costume filming
2716,友情,friendship
2548,晨昏,morning and dusk
2485,吃东西,eat
811,女-半身-清纯,Female-half body-pure
2169,鹿,deer
745,国画_水墨画,Chinese painting_ink painting
2500,警察,police
904,卖包,selling bags
1083,绘画,painting
401,字幕遮脸,Subtitles cover face
277,农田,farmland
840,农村,rural area
1048,西瓜,watermelon
387,钓鱼,fishing
2800,农业,agriculture
357,扮丑,act ugly
2509,医疗_骨科,Medical_Orthopedics
373,泥,mud
2692,食品类广告,food advertising
147,面食,pasta
736,折纸,Origami
255,牌技,card skills
2453,养蜂,beekeeping
784,坦克_装甲车,Tank_armored vehicle
2152,舞台表演,stage performance
2563,轿车内部,car interior
331,大桌饭,big table meal
2713,开箱,Unboxing
2148,绘画,painting
855,餐馆饭店,restaurant hotel
330,厨师烹饪,chef cooking
2456,植物养殖,Plant breeding
2816,乐器,musical instrument
750,高尔夫球,golf
111,学生,student
2703,轮滑滑板,Roller skateboard
2805,音乐分享,music sharing
2418,钓鱼用具广告,fishing equipment advertising
2357,制作食物,making food
1110,方向盘,steering wheel
1051,苹果,apple
2724,卖水果,selling fruit
1035,瑜伽,Yoga
727,二维码,QR code
997,钱,money
2687,婚庆广告,wedding advertising
2261,小吃,snack
2463,服装,clothing
955,宝妈,baby mom
2425,星座,constellation
2044,刺激战场,Stimulate the battlefield
413,聊天截屏,Chat screenshot
2223,夜景,night view
814,小鲜肉-齐刘海,Xiaoxianrou-Qi Liuhai
2421,抽奖,lottery
2877,车窗外,outside the car window
2659,游戏厅,arcade
451,军警,military police
313,理发店,Barber Shop
371,武术,martial arts
341,女-紧身裤,Women-Leggings
1316,辣椒,chili
329,刺绣,embroidery
2486,冰淇淋,ice cream
2483,自然场景,natural scene
934,人,people
305,露肉,Showing flesh
2409,手机技巧,Cell Phone Tips
2705,军训,military training
378,火灾,fire
1046,植物,plant
2498,狗,dog
2554,装修,furnish
2627,医院,Hospital
2520,悼念,condolences
2823,雕刻,engraving
109,禽,birds
1052,桃,Peach
21,历史,history
122,烧烤,barbecue
724,大棚,greenhouse
2435,手工制品,handmade products
2798,聋哑人,deaf mute
2407,生活清洁,Clean life
891,熊猫,panda
149,轮滑,roller skating
325,台球,billiards
180,婚礼,wedding
1084,健身,fitness
869,蛋糕,cake
2350,瓶子,bottle
2807,品酒,wine tasting
2501,老人,elder
422,飞机,airplane
323,卖鞋,selling shoes
2721,电工,electrician
930,古筝,guzheng
2474,猜谜,guessing riddles
106,农用车,Agricultural vehicles
2690,招聘就业广告,Recruitment employment advertisement
365,拖拉机,tractor
2706,飙演技,Excellent acting skills
1346,表情包,Emoticons
389,丝袜网袜秀,Stockings and fishnet stockings show
2789,性感美女,sexy beauty
1265,锅,pot
356,扭秧歌,Yangko dance
1453,杨幂,Yang Mi
2719,农村,rural area
1067,花,flower
418,卖口红,Selling lipstick
2430,偶遇,chance encounter
104,卡车,truck
370,豪车,luxury car
2524,高档汽车,luxury cars
2778,奶奶,grandmother
1294,包子,steamed stuffed bun
2700,古玩,antique
2475,移火柴,Move the matches
1147,五彩绳,colorful rope
2551,生日,Birthday
219,编发教程,Hair braiding tutorial
940,人-男,man-male
2494,糖,sugar
846,道路,the way
916,三轮车,Tricycle
749,山脉,mountains
2620,停车场,PARKING LOT
110,兔,rabbit
2681,机动车广告,motor vehicle advertising
1099,搞笑,funny
361,易拉罐,cans
1102,昏暗,dim
1078,美发教程,Hairdressing Tutorial
2736,脱口秀,talk show
2161,手控,Manual control
2737,相声,crosstalk
2645,裙子,skirt
2495,西点,Western pastries
118,老人,elder
2163,大象,elephant
895,鸵鸟,ostrich
2446,玩泥,play in mud
2708,模仿秀,imitation show
2403,孕妇知识,Pregnant women knowledge
2712,爬宠,crawling pet
288,恶心,nausea
32,鱼,fish
2442,声控,Voice control
2343,杯子,cup
2447,戏曲,drama
2671,足球场,football field
2406,减肥,lose weight
2411,面膜广告,facial mask advertising
910,交通工具,Transportation
35,自行车,bike
2607,篮球,basketball
2265,汉堡,Hamburger
1104,模糊,Vague
2484,自由旅行,travel freely
2499,猫,cat
2455,养水族,Raise an aquarium
2891,养发护发,Hair care
2697,开盲盒,Open blind box
2422,两性情感,bisexuality
2507,穴位按摩,acupressure
2561,树林,forest
2682,驾校广告,Driving School Advertisement
2266,比萨,pizza
2441,音乐,music
944,女-全身,Female - whole body
1542,迪丽热巴,Dilireba
1050,芒果,mango
911,轮胎,tire
364,修车,repair car
2348,碗,bowl
412,跆拳道,Taekwondo
2468,玉石,jade
864,火车站,TRAIN STATION
2299,牡丹花,peony flower
2811,软件教学,Software teaching
2502,少数民族,minority
1031,运动,sports
2227,沙漠,desert
2397,历史,history
1393,键盘,keyboard
2461,面膜,Facial mask
2454,养鸽子,Raise pigeons
103,公交车,the bus
2400,驾考教学,Driving test teaching
2819,街舞,hip-hop
33,越野车,off-road vehicle
2695,卖包,selling bags
1384,第五人格,fifth personality
303,水果,fruit
2420,网贷信用卡,Online loan credit card
873,水生动物,aquatic
2279,塔,tower
2153,美甲,Manicure
2151,刺绣,embroidery
2426,脏话,bad language
2568,公交内部,Inside the bus
2738,说说-感恩,Talk-Thanksgiving
783,多肉,Succulent
1409,服饰箱包,Clothing bags
335,筷子,Chopsticks
719,大枣,jujube
1297,米饭,rice
2388,舞蹈教程,dance tutorial
2336,遥控器,remote control
2514,天气热,hot weather
2147,编发,Braiding hair
2154,扮丑,act ugly
2493,水果,fruit
2512,天气好,good weather
2488,海鲜,seafood
2525,工程车,Engineering vehicle
2467,钓鱼,fishing
989,文玩,Wenwan
1068,玫瑰花,roses
280,雪地,Snow
2599,屋顶俯瞰,rooftop view
2776,大妈,Aunt
2144,街头健身,street fitness
2683,房屋租售广告,House rental and sale advertisement
2351,盘子,plate
2203,桌子,table
417,排行榜截图,Ranking screenshots
2664,晴天,sunny
893,羊驼,alpaca
349,弹弓,slingshot
868,玉米,corn
2885,穿越火线,crossfire
2684,卖电子设备广告,Selling electronic equipment advertising
2195,飞蛾_蝴蝶,moth_butterfly
2503,双胞胎,twin
1008,身份证,ID card
108,乌龟,turtle
983,手指舞,finger dance
1108,手势,gesture
2476,玩具,Toy
2204,柜子,cabinet
116,外国人,foreigner
2727,伤感,Sad
2457,护肤,Skin care
1878,邓超,Deng Chao
1073,僧侣,monk
2268,剪刀,Scissors
406,乡村女,country girl
2556,工作场所,workplace
2678,照片书广告,Photo book advertising
2689,农业种植广告,Agricultural planting advertising
2225,草地,grassland
150,甜品,Dessert
2440,社会摇,social shake
2283,高楼,high-rise
2069,街机游戏,arcade games
1012,烟花爆竹,fireworks
346,室内装修,interior decoration
1374,洗衣机,washing machine
347,广场舞,square dance
2521,许愿,Make a wish
2438,蹦迪,Disco
1094,化妆教程,makeup tutorial
734,格斗,fighting
888,鸭_鹅,duck_goose
2510,医院,Hospital
714,城市夜景,city ​​night view
157,英雄联盟,League of Legends
327,冰,ice
2824,宠物,pet
1116,蛋类,Eggs
952,司机,driver
2338,电视,television
1071,宗教,religion
2590,同学,classmate
113,夫妻,couple
145,鼠,mouse
2439,步伐,pace
768,瀑布,Fall
978,编织品,Knitted goods
1053,橘子_橙子,orange_orange
720,草莓,strawberry
2460,美甲,Manicure
2838,电动车,electric car
1075,咀嚼,chew
140,零食,snack
2155,国画_水墨画,Chinese painting_ink painting
186,健身,fitness
894,骆驼,camel
1162,航拍,aerial photography
2517,雨,rain
363,车祸,car accident
428,八爪鱼,Octopus
2477,二次元,Two dimensions
2410,护发广告,hair care ads
2401,说车,Talk about cars
2180,虾,shrimp
2506,按摩,massage
2569,地铁内部,subway interior
448,prisma_风格迁移,prisma_style migration
143,吃喝,eat and drink
390,秀胸,Show off your breasts
1060,花生,peanut
931,萨克斯,Saxophone
2489,火锅,hot pot
159,王者荣耀,King of Glory
2710,木雕,wood carving
2432,素颜,Without makeup
2404,成人性健康,adult sexual health
424,系鞋带,tie shoelaces
155,QQ飞车,QQ Speed
1054,葡萄,Grape
2344,水壶,kettle
1269,无花果,Fig
914,车牌,license plate
2273,笔,Pen
905,化妆对比,Makeup comparison
871,粽子,Zongzi
2658,博物馆,museum
2233,沙滩摩托,beach bike
2553,毕业,graduate
2250,土豆,Potato
2741,茶叶,tea
120,网红,internet celebrity
2880,第五人格,fifth personality
2331,电脑,computer
901,手绘,Hand drawn
2549,天空,Sky
2436,魔术,magic
2327,咖啡,coffee
2396,速算教程,Quick calculation tutorial
1310,香蕉,banana
2149,转笔,Turn pen
1063,西红柿,tomato
342,翘臀,Buttocks
707,足球,football
2821,陶艺,pottery
2481,游玩,play
1540,范冰冰,Fan Bingbing
304,球类,Balls
2319,啤酒,beer
2888,QQ飞车,QQ Speed
2573,幼儿园,kindergarten
742,转笔,Turn pen
1064,黄瓜,cucumber
739,乒乓球,table tennis
743,签名,sign
2339,空调,air conditioner
853,捕鱼,fishing
766,鹦鹉,Parrot
332,油腻,greasy
2133,植物大战僵尸2,Plants vs. Zombies 2
830,抓娃娃,catch doll
1006,刀具,Knives
2213,化妆品,cosmetic
160,我的世界,minecraft
2285,玩具,Toy
